state,state_po,year,democrat,republican
California,CA,1988,0.4400071718886596,0.5278757395368734
California,CA,1992,0.47903789576435574,0.43002867764048697
California,CA,1994,0.46736086503206625,0.44831866333556064
California,CA,1998,0.5305710303474354,0.4301153586331894
California,CA,2000,0.5584281724250367,0.3658693920182296
California,CA,2004,0.5770810388362684,0.3779814565228844
California,CA,2006,0.5943105149508118,0.35015283072855324
California,CA,2010,0.5218357506279899,0.4217298523223628
California,CA,2012,0.625242844721446,0.374757155278554
California,CA,2016,0.5,0.0
California,CA,2018,0.5,0.0
Colorado,CO,1978,0.4029851474996826,0.5868751647836574
Colorado,CO,1980,0.5033499780930186,0.48697855843538124
Colorado,CO,1984,0.3462196671467065,0.642483601207882
Colorado,CO,1986,0.4991199747352147,0.4836075850918912
Colorado,CO,1990,0.4165702080277723,0.5567837248918082
Colorado,CO,1992,0.5177676321870477,0.42704225823928404
Colorado,CO,1996,0.4573852717283696,0.5140548684195201
Colorado,CO,1998,0.3501670766669053,0.6248855703775141
Colorado,CO,2002,0.45769242176653613,0.5069572242285404
Colorado,CO,2004,0.5130260330860861,0.4653290767326921
Colorado,CO,2008,0.5279563016459364,0.42492111711122865
Colorado,CO,2010,0.4805037110263242,0.4642202217926452
Colorado,CO,2014,0.46260468835280527,0.4820495056975353
Colorado,CO,2016,0.4997078041270525,0.4430578963428305
Connecticut,CT,1976,0.41200852485117495,0.5770012616897242
Connecticut,CT,1980,0.5633678078277381,0.4290942610106373
Connecticut,CT,1982,0.46067587871986176,0.5039067547263149
Connecticut,CT,1986,0.6476339728517718,0.34847630287849835
Connecticut,CT,1988,0.49764081050880143,0.4903803759380019
Connecticut,CT,1992,0.38493837049140345,0.38118935589050423
Connecticut,CT,1994,0.4110473258347041,0.31012703952340726
Connecticut,CT,1998,0.6514608738388544,0.3236816156656025
Connecticut,CT,2000,0.632141122171711,0.3417145785621627
Connecticut,CT,2004,0.6635289873280897,0.3212891461235353
Connecticut,CT,2006,0.3972974425812296,0.09622859821797587
Connecticut,CT,2010,0.5248427086630562,0.4321693846667505
Connecticut,CT,2012,0.5245415289688073,0.3999096419811558
Connecticut,CT,2016,0.5768213015794261,0.34619389128195877
Connecticut,CT,2018,0.5679710709238268,0.3934967263707421
Delaware,DE,1976,0.43613959385217643,0.5580818078693921
Delaware,DE,1978,0.5795572338220051,0.4101818944666568
Delaware,DE,1982,0.4420454545454545,0.5517228739002933
Delaware,DE,1984,0.6011051835466714,0.3988948164533286
Delaware,DE,1988,0.37938667641369567,0.6206133235863043
Delaware,DE,1990,0.6267755346725357,0.3583207979706589
Delaware,DE,1994,0.42482412060301505,0.5581608040201005
Delaware,DE,1996,0.600400593633319,0.3813186932809852
Delaware,DE,2000,0.5552595927129939,0.4369848895847923
Delaware,DE,2002,0.5821990926074193,0.4080382585638403
