state,state_po,year,democrat,republican
Hawaii,HI,1986,0.5642912354013937,0.4077766639693716
Hawaii,HI,1988,0.6509057523217627,0.5471020223703537
Hawaii,HI,1990,0.6327789817565448,0.3448895744562301
Hawaii,HI,1992,0.7275765768027878,0.22778442712823388
Hawaii,HI,1994,0.6189883141015865,0.33751292000609995
Hawaii,HI,1996,0.5547202614045966,0.3844674928999997
Hawaii,HI,1998,0.6565662411119106,0.30024003502397834
Hawaii,HI,2000,0.650286113787512,0.3257555283998778
Hawaii,HI,2002,0.6454286857193653,0.3241616294057514
Hawaii,HI,2004,0.6286674508485969,0.35634587224236025
Hawaii,HI,2006,0.6504332078687594,0.3495667921312407
Hawaii,HI,2008,0.7015594302554028,0.18098337075498175
Hawaii,HI,2010,0.6287608887012976,0.358565593231164
Hawaii,HI,2012,0.651955009504551,0.3146017810453405
Hawaii,HI,2014,0.6367273189560269,0.3248120788849428
Hawaii,HI,2016,0.7226205490970242,0.1956432331651678
Hawaii,HI,2018,0.7530653986587573,0.228461128024858
Idaho,ID,1976,0.4735176524610494,0.5264823475389506
Idaho,ID,1978,0.413666429475293,0.586333570524707
Idaho,ID,1980,0.4385934059580537,0.5614065940419464
Idaho,ID,1982,0.47017867262864865,0.5298213273713513
Idaho,ID,1984,0.40697895451459604,0.5930210454854039
Idaho,ID,1986,0.43438389909444414,0.5526773013208358
Idaho,ID,1988,0.48666532493606324,0.4993373159824659
Idaho,ID,1990,0.5820509233351987,0.41794907666480136
Idaho,ID,1992,0.47041643491446494,0.4880352418435562
Idaho,ID,1994,0.35046542333298564,0.6495345766670143
Idaho,ID,1996,0.3917283705715893,0.5869933971086542
Idaho,ID,1998,0.447138418653271,0.5400008975025671
Idaho,ID,2000,0.28882891840068176,0.6749824992137328
Idaho,ID,2002,0.34081521296321443,0.6329220809682413
Idaho,ID,2004,0.29883338632417117,0.7011666136758289
Idaho,ID,2006,0.39832384921829034,0.557156202701064
Idaho,ID,2008,0.40726688949787726,0.5917736402801904
Idaho,ID,2010,0.33743939312615173,0.5897406651995778
Idaho,ID,2012,0.32791419638612257,0.6404321036242676
Idaho,ID,2014,0.36786263348630494,0.6321212803654773
Idaho,ID,2016,0.30662241745085783,0.6566137612713727
Idaho,ID,2018,0.3479849729069166,0.6177239795610048
Illinois,IL,1976,0.5145643053642754,0.4839311313587496
Illinois,IL,1978,0.4958665039381541,0.5179819193484
Illinois,IL,1980,0.45804622410986356,0.5405684522272387
Illinois,IL,1982,0.5793672957691202,0.4174633431044461
Illinois,IL,1984,0.5169995900924225,0.5015323609830509
Illinois,IL,1986,0.5592006825811547,0.46171893901982297
Illinois,IL,1988,0.5334878471179104,0.48057770983253884
Illinois,IL,1990,0.6069581528687781,0.4778603171049807
Illinois,IL,1992,0.5542781416705358,0.4340183413541999
Illinois,IL,1994,0.4796162880467813,0.5348046789536972
Illinois,IL,1996,0.5493181762018953,0.4704663570147171
Illinois,IL,1998,0.5643297044652735,0.5284328694653146
Illinois,IL,2000,0.5585054103010821,0.483330068570163
Illinois,IL,2002,0.5377734879126631,0.5063047379635293
Illinois,IL,2004,0.5362703248263814,0.4778311114102656
Illinois,IL,2006,0.5753466754291934,0.4377538850905383
Illinois,IL,2008,0.6051991208405938,0.39014987316771566
Illinois,IL,2010,0.5076394170272437,0.46535227515915845
Illinois,IL,2012,0.5424337398799122,0.4364887202451972
Illinois,IL,2014,0.5108682674505227,0.4825852115553747
Illinois,IL,2016,0.5970514258522824,0.49482080610370277
Illinois,IL,2018,0.6074272683857802,0.3864677080267788
Indiana,IN,1976,0.5545714410694622,0.47378721915967004
Indiana,IN,1978,0.5189862671625958,0.4696876102157347
Indiana,IN,1980,0.49649829034041193,0.5024272099478406
Indiana,IN,1982,0.4912963107315063,0.5065038251244418
Indiana,IN,1984,0.46894194289320545,0.5259079334561279
Indiana,IN,1986,0.5068566068812291,0.4861019590397215
Indiana,IN,1988,0.5173847783776848,0.4826152216223152
Indiana,IN,1990,0.5488757135219051,0.4511242864780949
Indiana,IN,1992,0.543434899701484,0.449907524912392
Indiana,IN,1994,0.4317466601204834,0.5660520887305385
Indiana,IN,1996,0.4434896861811167,0.5283588929801051
Indiana,IN,1998,0.4272697447951006,0.5599966438377715
Indiana,IN,2000,0.4419472130211096,0.528831423664561
Indiana,IN,2002,0.4210515245311246,0.5525962745003954
Indiana,IN,2004,0.4134843606893489,0.5718358730115373
Indiana,IN,2006,0.48742292680761307,0.49899455403432197
Indiana,IN,2008,0.5188796533238694,0.4634465883407737
Indiana,IN,2010,0.38877051243906346,0.5565370883207836
Indiana,IN,2012,0.4474031481596055,0.5293243729016119
Indiana,IN,2014,0.37419791416694115,0.5878325908061773
Indiana,IN,2016,0.3960705952187941,0.6002989453295304
Indiana,IN,2018,0.4432792337740105,0.5531452045055535
Iowa,IA,1976,0.5711567971068399,0.42402073259683987
Iowa,IA,1978,0.49707631165470284,0.500629101327829
Iowa,IA,1980,0.5113456372021388,0.48486598679557646
Iowa,IA,1982,0.5262143787701302,0.4731078562023462
Iowa,IA,1984,0.46922690066592676,0.5307730993340732
Iowa,IA,1986,0.4811425423928867,0.5187248129766916
Iowa,IA,1988,0.48807242516979904,0.510320014670774
Iowa,IA,1990,0.5710573590313799,0.687787841434875
Iowa,IA,1992,0.4720401888762248,0.5871497606315336
Iowa,IA,1994,0.41672447273702024,0.5730648266943318
Iowa,IA,1996,0.4437322091545507,0.5412905847806135
Iowa,IA,1998,0.44128016898543543,0.6125972992147227
Iowa,IA,2000,0.4166688872621938,0.5621936557847036
Iowa,IA,2002,0.4478966485026002,0.5395715281714203
Iowa,IA,2004,0.42836147723056645,0.564171583247666
Iowa,IA,2006,0.4771985157519838,0.5057092047191575
Iowa,IA,2008,0.5125228859088937,0.4712091385720273
Iowa,IA,2010,0.433650734553236,0.5398688404297523
Iowa,IA,2012,0.5025783274739418,0.47272373538324197
Iowa,IA,2014,0.4544974980675406,0.5318637120715787
Iowa,IA,2016,0.4447011160927845,0.5365380999039956
Iowa,IA,2018,0.5048243721936311,0.4650734288891184
Kansas,KS,1976,0.38339871394306113,0.5996320209921796
Kansas,KS,1978,0.5275836771292325,0.6518122910317484
Kansas,KS,1980,0.43354724074443207,0.5571387847572751
Kansas,KS,1982,0.4568113757610614,0.5299658224751932
Kansas,KS,1984,0.43755411962889396,0.5450793251703417
Kansas,KS,1986,0.46128617439212866,0.6027280693955828
Kansas,KS,1988,0.48044775435080206,0.6065113484574574
Kansas,KS,1990,0.504061470067785,0.49575030921974195
Kansas,KS,1992,0.43415117653856755,0.5260083028864532
Kansas,KS,1994,0.36490146758731384,0.6350985324126861
Kansas,KS,1996,0.4051796300427695,0.5635984356617262
Kansas,KS,1998,0.3742563042306804,0.618635283896581
Kansas,KS,2000,0.41227708742644953,0.633056649815968
Kansas,KS,2002,0.41831461270920883,0.6459000590439696
Kansas,KS,2004,0.43377910300530215,0.625912003203091
Kansas,KS,2006,0.4368467697754302,0.5434295673904632
Kansas,KS,2008,0.3890012596188701,0.5710534286958062
Kansas,KS,2010,0.329123226123809,0.6320977488513265
Kansas,KS,2012,0.35376556166763173,0.700532929200871
Kansas,KS,2014,0.3613714320182536,0.6272711138332191
Kansas,KS,2016,0.3468520854149263,0.5914788334003558
Kansas,KS,2018,0.442131079802194,0.536206991760622
Kentucky,KY,1976,0.6124487839603295,0.4191651119664297
Kentucky,KY,1978,0.5545960821931006,0.5229664529295424
Kentucky,KY,1980,0.5779903644758222,0.539492012070324
Kentucky,KY,1982,0.5901421643943591,0.4300134517248731
Kentucky,KY,1984,0.5528743258102485,0.49171673444644654
Kentucky,KY,1986,0.6539634784793869,0.49791852102746686
Kentucky,KY,1988,0.5340726672997151,0.5750478074782408
Kentucky,KY,1990,0.5680591204894991,0.5971233831802664
Kentucky,KY,1992,0.5303410730018348,0.46892559469355455
Kentucky,KY,1994,0.4029547404752524,0.5745767876791886
Kentucky,KY,1996,0.45293074885212187,0.5901713885126649
Kentucky,KY,1998,0.4151731518607432,0.5797734383389361
Kentucky,KY,2000,0.3913532658635971,0.5746898619139214
Kentucky,KY,2002,0.3759011262337262,0.6341010489452973
Kentucky,KY,2004,0.41304786288198103,0.6221576854326849
Kentucky,KY,2006,0.4800243473210767,0.5729639820706423
Kentucky,KY,2008,0.49449320891896176,0.5458681936634207
Kentucky,KY,2010,0.3738608489416657,0.6234735634254794
Kentucky,KY,2012,0.3923186795746707,0.5887450103903054
Kentucky,KY,2014,0.3635815303951129,0.6347599429318
Kentucky,KY,2016,0.3999848333486805,0.7070108577436195
Kentucky,KY,2018,0.39048145047961585,0.5958116904213153
Louisiana,LA,1976,0.6152767768502972,0.4978635600777285
Louisiana,LA,1978,0.5010312901057263,0.4989954393711374
Louisiana,LA,1980,0.4203309398475968,0.5032754918078817
Louisiana,LA,1982,1.0,1.0
Louisiana,LA,1984,1.0,1.0
Louisiana,LA,1986,0.49535506922733363,0.5135933153227346
Louisiana,LA,1988,0.4324419337040853,0.5675754853326042
Louisiana,LA,1990,0.5000070851971338,1.0
Louisiana,LA,1992,0.4499253843299197,0.5432073870100568
Louisiana,LA,1994,1.0,1.0
Louisiana,LA,1996,0.4730624279939857,0.5827723188076638
Louisiana,LA,1998,0.3888956801126816,0.5074431761734702
Louisiana,LA,2000,0.25055399008704315,0.7334090516428975
Louisiana,LA,2002,0.347961681522491,0.3815301355000262
Louisiana,LA,2004,0.20056497530592343,0.43732327675574506
Louisiana,LA,2006,0.14863580265899776,0.4581273663971019
Louisiana,LA,2008,0.3808867906673536,0.5680750006929993
Louisiana,LA,2010,0.3534052132835965,0.6519506770610107
Louisiana,LA,2012,0.30530101291020656,0.393310845522642
Louisiana,LA,2014,0.18005616421049833,0.18601547871293675
Louisiana,LA,2016,0.15922131898514094,0.23072534067238454
Louisiana,LA,2018,0.18405128831310386,0.5682994300107307
Maine,ME,1976,0.31965974533734876,0.6653246684630422
Maine,ME,1978,0.3816795752350334,0.5648648794929666
Maine,ME,1980,0.26873565862607446,0.7312234008332374
Maine,ME,1982,0.413521445743695,0.5770876784012067
Maine,ME,1984,0.29973704523043626,0.6923816980525835
Maine,ME,1986,0.3924341247064962,0.5906363399188862
Maine,ME,1988,0.49800498843001423,0.5016381802322648
Maine,ME,1990,0.5497183964251615,0.4494447171787844
Maine,ME,1992,0.542906683433371,0.4155703342836789
Maine,ME,1994,0.46947557309768173,0.46565989539711494
Maine,ME,1996,0.6321840613537846,0.3521340446815605
Maine,ME,1998,0.6767216737063777,0.30112916804365186
Maine,ME,2000,0.6619778539753352,0.3186674791157254
Maine,ME,2002,0.5845295925248438,0.4154704074751562
Maine,ME,2004,0.5891215698643717,0.3987884693371784
Maine,ME,2006,0.6544340053926462,0.30446059543024545
Maine,ME,2008,0.6082275619947022,0.3917724380052978
Maine,ME,2010,0.5601947665353103,0.43973081393700564
Maine,ME,2012,0.5904021815481981,0.3670625966882089
Maine,ME,2014,0.4947228183002807,0.3696474531439426
Maine,ME,2016,0.5009237809460139,0.46311743030830704
Maine,ME,2018,0.5460585412175342,0.39702353454470796
Maryland,MD,1976,0.5996248872419865,0.389484199802837
Maryland,MD,1978,0.6541338900089496,0.40423069670363165
Maryland,MD,1980,0.6172059809828181,0.3827940190171819
Maryland,MD,1982,0.680559514132195,0.31944048586780505
Maryland,MD,1984,0.638591434380183,0.3952784758122749
Maryland,MD,1986,0.6290010488540212,0.37099612911722235
Maryland,MD,1988,0.6002386955920112,0.43234691346562887
Maryland,MD,1990,0.5187039850789927,0.47442971070375034
Maryland,MD,1992,0.5293988971779297,0.4188135622457202
Maryland,MD,1994,0.4923985538331377,0.5074653940715486
Maryland,MD,1996,0.5347937617622747,0.464947582576125
Maryland,MD,1998,0.545234977982073,0.4547582242633613
Maryland,MD,2000,0.4763462107466978,0.44442702894594255
Maryland,MD,2002,0.545020140279776,0.4538033274406264
Maryland,MD,2004,0.5159449084648152,0.39770314885157443
Maryland,MD,2006,0.646273046939752,0.40935787205947743
Maryland,MD,2008,0.6714452479471182,0.30526567363984575
Maryland,MD,2010,0.6048057707814746,0.36935433685096236
Maryland,MD,2012,0.5616066095754281,0.3320059376974946
Maryland,MD,2014,0.5744249831330734,0.4136140318736469
Maryland,MD,2016,0.6042666499245682,0.355309676502034
Maryland,MD,2018,0.6530921386453904,0.3227765821566672
Massachusetts,MA,1976,0.6960510316582385,0.4101041425044676
Massachusetts,MA,1978,0.7447564078413045,0.43386233167607496
Massachusetts,MA,1980,0.6529433637315684,0.4076125479313553
Massachusetts,MA,1982,0.7648048049954348,0.32181030198022104
Massachusetts,MA,1984,0.6897265911552497,0.3856879945780304
Massachusetts,MA,1986,0.674145715128095,0.38638169823695073
Massachusetts,MA,1988,0.753924910645068,0.3590288683570214
Massachusetts,MA,1990,0.5858427380588548,0.4189783816221617
Massachusetts,MA,1992,0.5807478992850282,0.35195634711113943
Massachusetts,MA,1994,0.6894361696798705,0.3846278131308314
Massachusetts,MA,1996,0.6579961188304,0.3509073732511584
Massachusetts,MA,1998,0.7499806229700767,0.3154828323308184
Massachusetts,MA,2000,0.719810590598587,0.23683212606850865
Massachusetts,MA,2002,0.6884727738178988,0.30540871298621014
