personal_income,state_po,year,percent_delta_prev
48813.0,CA,2012,0.0571304818624796
57801.0,CA,2016,0.0357117259174311
7211.0,CO,1976,0.0811094452773613
11019.0,CO,1980,0.12209775967413439
15030.0,CO,1984,0.07788296041308085
17643.0,CO,1988,0.05741684147437809
21625.0,CO,1992,0.052362645384203654
26336.0,CO,1996,0.05365073014602917
34187.0,CO,2000,0.08609460876195318
35870.0,CO,2004,0.02676399026763998
42689.0,CO,2008,0.015824290881401026
45669.0,CO,2012,0.048055077452667794
52278.0,CO,2016,0.0025121291732985718
7951.0,CT,1976,0.07927243111171434
12365.0,CT,1980,0.1335716905023836
17572.0,CT,1984,0.11229269527788333
23738.0,CT,1988,0.09427004102705938
28560.0,CT,1992,0.07416879795396425
33191.0,CT,1996,0.044398993077407134
43102.0,CT,2000,0.08588416093517748
47557.0,CT,2004,0.05089052901400981
61165.0,CT,2008,0.0571023660151051
64914.0,CT,2012,0.017476762958666958
69752.0,CT,2016,0.021333919027747283
9548.0,DC,1976,0.08082408874801894
13235.0,DC,1980,0.08421397558777755
17566.0,DC,1984,0.08990506918160945
22698.0,DC,1988,0.10538618876010508
29067.0,DC,1992,0.05617528432833119
33872.0,DC,1996,0.055959098419428255
43344.0,DC,2000,0.09556909233374622
50201.0,DC,2004,0.09021217451734098
61117.0,DC,2008,0.018141533950822852
68397.0,DC,2012,0.014506296444622535
77561.0,DC,2016,0.02834679076674229
7430.0,DE,1976,0.08562244301578015
10809.0,DE,1980,0.13218812192311713
14671.0,DE,1984,0.09232372868736505
18925.0,DE,1988,0.07681365576102417
22814.0,DE,1992,0.025486582460556573
26227.0,DE,1996,0.05320857762428721
33907.0,DE,2000,0.08718096703860456
38970.0,DE,2004,0.02517559782179779
40722.0,DE,2008,-0.023148703432724793
44077.0,DE,2012,0.004237770841402533
48520.0,DE,2016,0.011486585086201595
6557.0,FL,1976,0.0736859341738989
10145.0,FL,1980,0.13491441995748965
13939.0,FL,1984,0.08508485131558463
17601.0,FL,1988,0.07088099294232175
20825.0,FL,1992,0.0374632591042694
24500.0,FL,1996,0.04273067756213833
29428.0,FL,2000,0.06322711178553364
33694.0,FL,2004,0.06276810497098162
39247.0,FL,2008,-0.008964193727589498
41115.0,FL,2012,0.02451969798908582
45721.0,FL,2016,0.008825930584055897
5881.0,GA,1976,0.09843107956667918
8602.0,GA,1980,0.09579617834394893
12316.0,GA,1984,0.11315979754157635
15959.0,GA,1988,0.07193713057495965
19360.0,GA,1992,0.05665320379871197
23475.0,GA,1996,0.05576793343827302
28861.0,GA,2000,0.0581484876260312
31960.0,GA,2004,0.037561276499042284
35175.0,GA,2008,-0.009796469892745518
37254.0,GA,2012,0.018508899034912707
42705.0,GA,2016,0.024297227285810186
8367.0,HI,1976,0.05817629948147207
11867.0,HI,1980,0.12259956484722356
15052.0,HI,1984,0.05539195063805913
18964.0,HI,1988,0.08769716088328083
24542.0,HI,1992,0.05543370747860488
25665.0,HI,1996,-0.004769660307119561
29404.0,HI,2000,0.05735553238160307
34531.0,HI,2004,0.05913566236235934
42080.0,HI,2008,0.03632557566802119
44778.0,HI,2012,0.028622622438665868
51051.0,HI,2016,0.031437518941307196
6640.0,IA,1976,0.05514063244875267
9607.0,IA,1980,0.06555013309671698
12924.0,IA,1984,0.119154832005542
15446.0,IA,1988,0.03290089608131597
19086.0,IA,1992,0.0648292791787548
23209.0,IA,1996,0.0851412006732748
27463.0,IA,2000,0.06367403849877995
31660.0,IA,2004,0.07742045261187691
38537.0,IA,2008,0.05177401746724897
42905.0,IA,2012,0.047792321969327034
46437.0,IA,2016,0.004434158158850954
6343.0,ID,1976,0.08427350427350433
8856.0,ID,1980,0.10575602447246846
11399.0,ID,1984,0.05595182955071798
13966.0,ID,1988,0.08112710945966861
17640.0,ID,1992,0.06850808649827367
21058.0,ID,1996,0.03979853841595893
25235.0,ID,2000,0.06082898940642334
28197.0,ID,2004,0.05606741573033713
32722.0,ID,2008,0.0025736871131809558
35190.0,ID,2012,0.05000895148296225
40683.0,ID,2016,0.020442460118390793
7644.0,IL,1976,0.08210645526613813
10950.0,IL,1980,0.08233666106553317
14784.0,IL,1984,0.10229645093945727
18669.0,IL,1988,0.07850953206239164
22724.0,IL,1992,0.06921375805768593
27066.0,IL,1996,0.05590449810790776
33169.0,IL,2000,0.06914002062919034
36334.0,IL,2004,0.03695881731784589
43267.0,IL,2008,0.020905594488096035
46050.0,IL,2012,0.043271409152696005
52299.0,IL,2016,0.014706738324828716
6540.0,IN,1976,0.10716099542915192
9365.0,IN,1980,0.0724919835089326
12460.0,IN,1984,0.10824513030329985
15646.0,IN,1988,0.06696672122204039
19411.0,IN,1992,0.0711881242757022
23089.0,IN,1996,0.04726266612237495
28233.0,IN,2000,0.057693028134716995
30691.0,IN,2004,0.04121997557334778
35228.0,IN,2008,0.03654445948331664
39333.0,IN,2012,0.04470119521912341
43734.0,IN,2016,0.02599352507859054
6850.0,KS,1976,0.07738282478766911
10075.0,KS,1980,0.08907145173494757
13827.0,KS,1984,0.09364865933718258
16533.0,KS,1988,0.046061372983233095
20115.0,KS,1992,0.06237456427590571
23688.0,KS,1996,0.059913195221262594
28244.0,KS,2000,0.04855954855954847
30664.0,KS,2004,0.024695071010860437
40791.0,KS,2008,0.07881304382322596
45120.0,KS,2012,0.05627867777881823
47517.0,KS,2016,0.002595265223445997
5536.0,KY,1976,0.0986306806906132
8152.0,KY,1980,0.08188453881884539
11111.0,KY,1984,0.11679565785506085
13743.0,KY,1988,0.08864068441064643
17407.0,KY,1992,0.06497399816457627
20314.0,KY,1996,0.052157248666286904
24894.0,KY,2000,0.07047946678133732
27989.0,KY,2004,0.05126953125
32757.0,KY,2008,0.03612209394274868
35754.0,KY,2012,0.03263632162661745
39638.0,KY,2016,0.013941114777581642
5672.0,LA,1976,0.10932916096225309
8849.0,LA,1980,0.12783583991842984
11704.0,LA,1984,0.06235817373150576
13263.0,LA,1988,0.06830447039871124
17066.0,LA,1992,0.06105446406366566
20409.0,LA,1996,0.039684156902699996
23943.0,LA,2000,0.05331925564207474
27744.0,LA,2004,0.03549434553801367
37891.0,LA,2008,0.05352277150642282
40554.0,LA,2012,0.047744535730894544
42726.0,LA,2016,-0.00720327167952417
7078.0,MA,1976,0.07896341463414625
10684.0,MA,1980,0.12688534964666176
15739.0,MA,1984,0.1206921105098262
21358.0,MA,1988,0.09236906710310966
24628.0,MA,1992,0.04862471259473722
29545.0,MA,1996,0.056536976112144144
38555.0,MA,2000,0.10507609848376287
42647.0,MA,2004,0.05355863534178207
51916.0,MA,2008,0.033401011186751095
57333.0,MA,2012,0.0367256157101008
65496.0,MA,2016,0.0298437057769112
7887.0,MD,1976,0.08561596696490015
11473.0,MD,1980,0.11269517990495581
15959.0,MD,1984,0.09631105310160071
20769.0,MD,1988,0.07745382859514427
24503.0,MD,1992,0.03804278754501156
28119.0,MD,1996,0.038751385297377094
35681.0,MD,2000,0.07719478323873918
41862.0,MD,2004,0.059153931788280545
49428.0,MD,2008,0.03870886395158246
53547.0,MD,2012,0.021246161768351923
59042.0,MD,2016,0.03310586176727903
5915.0,ME,1976,0.12324344853778957
8567.0,ME,1980,0.12192247249869048
11930.0,ME,1984,0.09489720998531581
16013.0,ME,1988,0.0844507652715698
18833.0,ME,1992,0.0470921828088513
22139.0,ME,1996,0.051584097278297714
27584.0,ME,2000,0.06534837015294293
32256.0,ME,2004,0.046016149430878395
37054.0,ME,2008,0.03833436081376451
40287.0,ME,2012,0.02075098814229248
44841.0,ME,2016,0.027826804501799307
7070.0,MI,1976,0.1151419558359621
10230.0,MI,1980,0.06941250261342247
13612.0,MI,1984,0.10379500486539084
17089.0,MI,1988,0.06400597721187973
20280.0,MI,1992,0.050886102186755044
24821.0,MI,1996,0.04285534221251197
30409.0,MI,2000,0.05973166056804313
32165.0,MI,2004,0.026750087783701026
35700.0,MI,2008,0.026097953552540742
39059.0,MI,2012,0.04132341571356202
44874.0,MI,2016,0.030733186328555595
6801.0,MN,1976,0.07271293375394317
10282.0,MN,1980,0.0985042735042736
14351.0,MN,1984,0.13035601764335225
17556.0,MN,1988,0.04017063633131879
21581.0,MN,1992,0.06195256372404301
25932.0,MN,1996,0.06628289473684212
32447.0,MN,2000,0.07022231017877179
37205.0,MN,2004,0.05507188838158972
43104.0,MN,2008,0.03317353787152455
